Molecule Index,SMILES,cls,Formula,Question,Answer
99,CCCCC1=CC=CC=C1,Saturation,C10H14,Could the molecule with the formula C10H14 potentially be Saturated?,No
99,CCCCC1=CC=CC=C1,Saturation degree,C10H14,Calculate the Degree of Unsaturation of the molecule with the formula C10H14?,4.0
99,CCCCC1=CC=CC=C1,Aromatic Rings,C10H14,Could the molecule with the formula C10H14 have aromatic rings?,Yes
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Alcohol?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Alcohol group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Phenol?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Phenol group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Ketone?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Ketone group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Acid?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Acid group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Aldehyde?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Aldehyde group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Ester?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Ester group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Nitrile?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Nitrile group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Isocyanate?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Isocyanate group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Amine?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Amine group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Ether?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Ether group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Sulfide?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Sulfide group , given the Degree of Unsaturation is 4.0?",No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,Could the molecule with the formula C10H14 potentially contain a Halide?,No
99,CCCCC1=CC=CC=C1,Functional Group,C10H14,"Could the molecule with the formula C10H14 potentially contain a Halide group , given the Degree of Unsaturation is 4.0?",No
98,CCCCOCCCC,Saturation,C8H18O,Could the molecule with the formula C8H18O potentially be Saturated?,Yes
98,CCCCOCCCC,Saturation degree,C8H18O,Calculate the Degree of Unsaturation of the molecule with the formula C8H18O?,0.0
98,CCCCOCCCC,Aromatic Rings,C8H18O,Could the molecule with the formula C8H18O have aromatic rings?,No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Alcohol?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Alcohol group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Phenol?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Phenol group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Ketone?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Ketone group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Acid?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Acid group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Aldehyde?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Aldehyde group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Ester?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Ester group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Nitrile?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Nitrile group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Isocyanate?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Isocyanate group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Amine?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Amine group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Ether?,Yes
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Ether group , given the Degree of Unsaturation is 0.0?",Yes
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Sulfide?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Sulfide group , given the Degree of Unsaturation is 0.0?",No
98,CCCCOCCCC,Functional Group,C8H18O,Could the molecule with the formula C8H18O potentially contain a Halide?,No
98,CCCCOCCCC,Functional Group,C8H18O,"Could the molecule with the formula C8H18O potentially contain a Halide group , given the Degree of Unsaturation is 0.0?",No
97,CCC[N+](=O)[O-],Saturation,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially be Saturated?,No
97,CCC[N+](=O)[O-],Saturation degree,C3H7NO2,Calculate the Degree of Unsaturation of the molecule with the formula C3H7NO2?,1.0
97,CCC[N+](=O)[O-],Aromatic Rings,C3H7NO2,Could the molecule with the formula C3H7NO2 have aromatic rings?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Alcohol?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Alcohol group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Phenol?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Phenol group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Ketone?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Ketone group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Acid?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Acid group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Aldehyde?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Aldehyde group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Ester?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Ester group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Nitrile?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Nitrile group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Isocyanate?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Isocyanate group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Amine?,Yes
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Amine group , given the Degree of Unsaturation is 1.0?",Yes
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Ether?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Ether group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Sulfide?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Sulfide group , given the Degree of Unsaturation is 1.0?",No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,Could the molecule with the formula C3H7NO2 potentially contain a Halide?,No
97,CCC[N+](=O)[O-],Functional Group,C3H7NO2,"Could the molecule with the formula C3H7NO2 potentially contain a Halide group , given the Degree of Unsaturation is 1.0?",No
96,C1=CC=C(C=C1)CCCBr,Saturation,C9H11Br,Could the molecule with the formula C9H11Br potentially be Saturated?,No
96,C1=CC=C(C=C1)CCCBr,Saturation degree,C9H11Br,Calculate the Degree of Unsaturation of the molecule with the formula C9H11Br?,4.0
96,C1=CC=C(C=C1)CCCBr,Aromatic Rings,C9H11Br,Could the molecule with the formula C9H11Br have aromatic rings?,Yes
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Alcohol?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Alcohol group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Phenol?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Phenol group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Ketone?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Ketone group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Acid?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Acid group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Aldehyde?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Aldehyde group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Ester?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Ester group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Nitrile?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Nitrile group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Isocyanate?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Isocyanate group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Amine?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Amine group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Ether?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Ether group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Sulfide?,No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,"Could the molecule with the formula C9H11Br potentially contain a Sulfide group , given the Degree of Unsaturation is 4.0?",No
96,C1=CC=C(C=C1)CCCBr,Functional Group,C9H11Br,Could the molecule with the formula C9H11Br potentially contain a Halide?,Yes
