Molecule Index,SMILES,cls,Formula,Question,Answer
"5_99
",CCCCC1=CC=CC=C1,IR spectrum peak analysis,C10H14,Does the IR spectrum contains broad absorption peak of O-H stretching around 3300 cm⁻1?,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum peak analysis,C10H14,Does the IR spectrum contains sharp absorption peak of Alkyl stretching around 2900 cm⁻1?,Yes
"5_99
",CCCCC1=CC=CC=C1,IR spectrum peak analysis,C10H14," Does the IR spectrum contains strong, sharp peak of C=O stretching around 1700 cm⁻¹?",No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum peak analysis,C10H14,Does the IR spectrum contains broad absorption peak of N-H stretching around 3200-3600 cm⁻1?,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum peak analysis,C10H14,Does the IR spectrum contains weak absorption peak of triple bond C-H stretching around 2260-2100 cm⁻1?,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Alcohol? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Phenol? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Ketone? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Acid? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Aldehyde? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Ester? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Nitrile? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Isocyanate? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Amine? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Ether? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Sulfide? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_99
",CCCCC1=CC=CC=C1,IR spectrum structure elucidation,C10H14, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Halide? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum peak analysis,C8H18O,Does the IR spectrum contains broad absorption peak of O-H stretching around 3300 cm⁻1?,No
"5_98
",CCCCOCCCC,IR spectrum peak analysis,C8H18O,Does the IR spectrum contains sharp absorption peak of Alkyl stretching around 2900 cm⁻1?,Yes
"5_98
",CCCCOCCCC,IR spectrum peak analysis,C8H18O," Does the IR spectrum contains strong, sharp peak of C=O stretching around 1700 cm⁻¹?",No
"5_98
",CCCCOCCCC,IR spectrum peak analysis,C8H18O,Does the IR spectrum contains broad absorption peak of N-H stretching around 3200-3600 cm⁻1?,No
"5_98
",CCCCOCCCC,IR spectrum peak analysis,C8H18O,Does the IR spectrum contains weak absorption peak of triple bond C-H stretching around 2260-2100 cm⁻1?,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Alcohol? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Phenol? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Ketone? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Acid? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Aldehyde? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Ester? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Nitrile? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Isocyanate? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Amine? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Ether? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,Yes
"5_98
",CCCCOCCCC,IR spectrum structure elucidation,C8H18O, Examine the IR spectrum to determine if the molecule could potentially contain specific functional groups: Sulfide? Look for the presence of characteristic absorption bands and analyze the wavenumbers and intensities of these peaks. This analysis will help identify the functional groups and key structural features within the molecule.,No
